"name","rating","service","no_of_emp","cmp_age","location"
"KIMS Hospital","4.1","Healthcare "," 501-1k Employees ","11","Hyderabad/Secunderabad"
"CALIBEHR","3.8","Recruitment "," 1k-5k Employees ","44","Mumbai"
"Qualcomm","4","Semiconductors "," 10k-50k Employees ","27","San Diego"
"Happiest Minds Technologies","4","IT Services & Consulting "," 1k-5k Employees ","12","Bangalore"
"Fluor Daniel India","4.1","Engineering & Construction "," 501-1k Employees ","111","Irving"
"Snapdeal","4","Internet "," 1k-5k Employees ","13","Delhi"
"Troikaa Pharmaceuticals","3.9","Pharma "," 1k-5k Employees ","40","Ahmedabad"
"Air India","4","Aviation "," 10k-50k Employees ","93","Delhi/NCR"
"Reliance Capital","3.8","Financial Services "," 1k-5k Employees ","18","Navi Mumbai"
"Alok Industries","3.8","Fashion & Textile "," 10k-50k Employees ","37","Mumbai"
"SNC-Lavalin","4.3","Engineering & Construction "," 1k-5k Employees ","112","Montreal"
"Vedanta Aluminium","3.9","Metals & Mining "," 1k-5k Employees ","20","Jharsuguda"
"Hikal","4","Pharma "," 1k-5k Employees ","35","Mumbai"
"Patra Corporation","3.7","IT Services & Consulting "," 1k-5k Employees ","18","El Dorado Hills"
"Visionary RCM Infotech","3.4","IT Services & Consulting "," 1k-5k Employees ","17","Chennai"
"Mswipe Technologies","3.1","FinTech "," 1k-5k Employees ","12","Mumbai"
"Napino Auto & Electronics","4.1","Auto Components "," 5k-10k Employees ","26","Gurgaon/Gurugram"
"GVPR Engineers","4.1","Engineering & Construction "," 501-1k Employees ","26","Hyderabad/Secunderabad"
"HT Media","3.6","Media & Entertainment "," 1k-5k Employees ","99","Delhi/NCR"
"Acme Cleantech Solutions","3.9","Industrial Machinery "," 1k-5k Employees ","20","Gurgaon/Gurugram"
"Fusion Microfinance","4","NBFC "," 5k-10k Employees ","13","Delhi"
"Shriram General Insurance","3.7","Insurance "," 10k-50k Employees ","15","Jaipur"
"Micromax Informatics","3.8","Consumer Electronics & Appliances "," 1k-5k Employees ","23","Gurgaon/Gurugram"
"Vertiv","3.9","IT Services & Consulting "," 51-200 Employees (Global) ","7","Columbus"
"Tata Steel BSL","4","Metals & Mining "," 10k-50k Employees ","36","Mumbai"
"Precision Techserve","3.9","IT Services & Consulting "," 1k-5k Employees ","24","Chennai"
"United Breweries","3.8","Beverage "," 1k-5k Employees ","166","Bangalore/Bengaluru"
"Samsung Engineering","4.2","Engineering & Construction "," 1k-5k Employees ","17","Suwon-Si"
"Mu Sigma","3.1","Analytics & KPO "," 1k-5k Employees ","19","Northbrook"
"Air India Sats Airport Services","3.9","Aviation "," 1k-5k Employees ","13","Mumbai"
"B. G. Shirke Construction Technology","4.1","Engineering & Construction "," 1k-5k Employees ","79","Pune"
"Parekh Integrated Services","4.1","Logistics "," 1k-5k Employees ","42","Mumbai"
"Duck Creek Technologies","4.5","Software Product "," 501-1k Employees ","23","Boston"
"Samasta Microfinance","4.1","Financial Services "," 5k-10k Employees ","15","Bangalore"
"Willis Towers Watson","4","Financial Services "," 1k-5k Employees ","7","London"
"Wheels","4.1","Auto Components "," 1k-5k Employees ","61","Chennai"
"Medha Servo Drives","4.1","Electronics Manufacturing "," 501-1k Employees ","39","Hyderabad/Secunderabad"
"PayPal","4.1","IT Services & Consulting "," 1k-5k Employees ","25","San Jose"
"Galfar","4.2","Engineering & Construction "," 1k-5k Employees ","51","Muscat"
"CRB Tech Solution","4.3","EdTech "," 501-1k Employees ","22","Pune"
"ICICI Prudential Mutual Fund","3.9","Financial Services "," 1k-5k Employees ","30","New Delhi"
"Samsung Electronics Corporation","4.2","Consumer Electronics & Appliances "," 1 Lakh+ Employees (Global) ","2000","Noida"
"VeeTechnologies","3.7","IT Services & Consulting "," 1k-5k Employees ","23","New York"
"Godfrey Phillips India","4.2","FMCG "," 1k-5k Employees ","90","Delhi/NCR"
"HPCL-Mittal Energy","4.3","1k-5k Employees "," 16 years old ","16","Noida"
"Skill Lync","3.2","EdTech "," 201-500 Employees ","8","Palo Alto"
"Godrej Agrovet","4.1","Agriculture "," 1k-5k Employees ",NULL,"Mumbai"
"Natco Pharma","3.9","Pharma "," 1k-5k Employees ","42","Hyderabad/Secunderabad"
"Gharda Chemicals","4.1","Chemicals "," 1k-5k Employees ","56","Mumbai"
"Sri Chaitanya Schools","4","Education & Training "," 11-50 Employees ","37","Hyderabad"
"Renew Solar Power","4.3","Power "," 1k-5k Employees ","12","Gurgaon"
"Knorr-Bremse","4.1","Auto Components "," 501-1k Employees ","10","Munich"
"Softenger","4.1","IT Services & Consulting "," 501-1k Employees ","24","Pune"
"Sandhar Technologies","3.8","Auto Components "," 1k-5k Employees ","36","Gurgaon/Gurugram"
"Aristo Pharmaceuticals","4.1","Pharma "," 1k-5k Employees ","52","Mumbai"
"Suzuki Motorcycle","4.1","Automobile "," 1k-5k Employees ","114","Hamamatsu"
"Rashmi Metaliks","3.5","Metals & Mining "," 10k-50k Employees ","19","Kolkata"
"Centre for Development of Advanced Computing","3.8","IT Services & Consulting "," 1k-5k Employees ","35","Pune"
"Star Cement","4.1","Building Material "," 1k-5k Employees ","22","Kolkata"
"Indira IVF Hospital","4","Healthcare "," 1k-5k Employees ","8","Udaipur"
"Amara Raja Group","4.1","Electrical Equipment "," 10k-50k Employees ","38","Bangalore/Bengaluru"
"Varroc Polymers","3.8","Auto Components "," 201-500 Employees ","28","Aurangabad"
"DLF","4","Real Estate "," 501-1k Employees ","77","Gurgaon/Gurugram"
"GlaxoSmithKline Consumer Healthcare","4.5","Pharma "," 1k-5k Employees ","23","London"
"Federal Bank","3.9","Banking "," 10k-50k Employees ","92","Aluva"
"Telenor","4.5","Telecom "," 501-1k Employees ","14","Fornebu"
"Orchids International School","2.9","Education & Training "," 1k-5k Employees ","19","Nasik/Nashik"
"Greenko Group","3.8","Power "," 1k-5k Employees ","19","Hyderabad"
"Greenko Group","3.8","Power "," 1k-5k Employees ","19","Hyderabad"
"Kotak Mahindra Prime","4","Banking "," 10k-50k Employees ","27","Mumbai"
"Page Industries","4.3","Fashion & Textile "," 10k-50k Employees ","29","Bangalore/Bengaluru"
"Medlife","3.7","Internet "," 1k-5k Employees ","9","Bangalore"
"Prodapt","3.8","IT Services & Consulting "," 1k-5k Employees ","24","Chennai"
"Aarvi Encon","3.9","BPO "," 1k-5k Employees ","36","Mumbai"
"Timken","4","Industrial Machinery "," 1k-5k Employees ","25","Bangalore/Bengaluru"
"Rupeek","3.7","FinTech "," 1k-5k Employees ","8","Bangalore"
"General Mills","4.3","IT Services & Consulting "," 1k-5k Employees ","95","Minneapolis"
"Lakshmi Machine Works","4","Industrial Machinery "," 1k-5k Employees ","61","Coimbatore"
"Artech Infosystems","3.6","1k-5k Employees "," 31 years old ","31","Morristown"
"Leadec India","3.9","Facility Management Services "," 1k-5k Employees ","61","Stuttgart"
"Capital Numbers Infotech","4.7","IT Services & Consulting "," 501-1k Employees ","11","Kolkata"
"Test Yantra Software Solutions","3.5","IT Services & Consulting "," 1k-5k Employees ","16","Bangalore/Bengaluru"
"More Supermarket","3.8","Retail "," 10k-50k Employees ","16","Mumbai"
"Kohler","3.9","Furniture & Furnishing "," 1k-5k Employees ","150","Kohler"
"DAV Public School","4","Education & Training "," 1 Lakh+ Employees ","137","Delhi/NCR"
"Otis Elevator","4","Industrial Machinery "," 1k-5k Employees ","170","Farmington"
"Aspire Systems","3.9","IT Services & Consulting "," 1k-5k Employees ","27","Oak Brook"
"Medusind Solutions","3.9","IT Services & Consulting "," 1k-5k Employees ","21","Mumbai"
"Aparna Constructions and Estates","4.1","Real Estate "," 1k-5k Employees ","27","Hyderabad/Secunderabad"
"Navayuga Engineering Company","4.1","Engineering & Construction "," 501-1k Employees ","124","Hyderabad/Secunderabad"
"Michelin","4","Auto Components "," 1k-5k Employees ","14","Clermont-Ferrand"
"Bridge & Roof Co","3.6","Engineering & Construction "," 1k-5k Employees ","103","Kolkata"
"T-SYSTEMS ICT INDIA","4","IT Services & Consulting "," 1k-5k Employees ","7","Frankfurt"
"Allscripts","4.2","IT Services & Consulting "," 1k-5k Employees ","41","Chicago"
"Sanden Vikas","3.8","Auto Components "," 1k-5k Employees ","41","Faridabad"
"Carnival Cruise Lines","4.5","Sports & Recreation "," 1k-5k Employees ","51","Miami"
"IDFC FIRST Bharat","4.2","NBFC "," 5k-10k Employees ","7","Tiruchirappalli"
"ValueMomentum","3.5","IT Services & Consulting "," 1k-5k Employees ","23","Piscataway"
"Genpact Headstrong Capital Markets","3.8","IT Services & Consulting "," 1k-5k Employees ","25","New Delhi"
"SFO Technologies","3.6","Electronics Manufacturing "," 1k-5k Employees ","33","Kochi/Cochin"
"Musashi Auto Parts","3.9","Auto Components "," 1k-5k Employees ","85","Gurgaon/Gurugram"
"Webhelp","3.8","BPO "," 1k-5k Employees ","23","Paris"
"Pacific BPO","3.6","BPO "," 1k-5k Employees ","13","Noida"
"Pristyn Care","3.6","Healthcare "," 1k-5k Employees ","5","Delhi"
"Hindustan Sanitaryware & Industries","4.1","Furniture & Furnishing "," 1k-5k Employees ","63","Gurgaon/Gurugram"
"LEAD School","3.3","EdTech "," 1k-5k Employees ","10","Mumbai"
"ICA Edu Skills","3.7","Education & Training "," 1k-5k Employees ","24","Kolkata"
"OCS Group","3.9","Facility Management Services "," 10k-50k Employees ","27","Mumbai"
"Grant Thornton","3.7","Accounting & Auditing "," 5k-10k Employees ","99","Chicago"
"GirnarSoft","3.7","IT Services & Consulting "," 1k-5k Employees ","16","Jaipur"
"OLX","3.9","IT Services & Consulting "," 1k-5k Employees ","17","Gurgaon"
"Reliance Power","4.2","Power "," 1k-5k Employees ","28","Navi Mumbai"
"Kalpataru Group","3.8","Real Estate "," 1k-5k Employees ","54","Mumbai"
"Zoho","4.3","Software Product "," 10k-50k Employees ","27","Chennai"
"ICCS","3.2","BPO "," 501-1k Employees ","18","Delhi/NCR"
"Ageas Federal Life Insurance","3.7","Insurance "," 501-1k Employees ","15","Mumbai"
"Schlumberger","4.2","Oil & Gas "," 5k-10k Employees ","97","Houston"
"Amazon Services","4.2",NULL,NULL,NULL,"Hyderabad/Secunderabad"
"Aditya Birla Finance","3.9","Financial Services "," 10k-50k Employees ","11","Mumbai"
"Ugam Solution","3.6","IT Services & Consulting "," 1k-5k Employees ","23","Mumbai"
"NetAmbit","3.4","FinTech "," 501-1k Employees ","23","Noida"
"Temenos","3.2","IT Services & Consulting "," 1k-5k Employees ","30","Geneva"
"Defence Research & Development Organisation","4.5","Defence & Aerospace "," 10k-50k Employees ","65","Delhi/NCR"
"Cult.fit","3.7","Internet "," 1k-5k Employees ","7","Bangalore"
"Athena BPO","3.2","BPO "," 201-500 Employees ","4","Mumbai"
"Steag Energy Services","4.2","Power "," 1k-5k Employees ","23","Essen"
"Capri Global Capital","3.9","NBFC "," 1k-5k Employees ","26","Mumbai"
"H.G. Infra Engineering","4.3","Engineering & Construction "," 1k-5k Employees ","20","Jaipur"
"Indiabulls Ventures","3.6","Financial Services "," 1k-5k Employees ","28","Mumbai"
"Kurlon","4.3","Furniture & Furnishing "," 1k-5k Employees ","61","Bangalore/Bengaluru"
"L&T Power","3.8","Power "," 1k-5k Employees ","17","Mumbai"
"Tanishq","4.2","Jewellery "," 1 Lakh+ Employees ","29","Bangalore/Bengaluru"
"Royal Sundaram General Insurance","3.9","Insurance "," 1k-5k Employees ","22","Chennai"
"Netscribes","3","Analytics & KPO "," 1k-5k Employees ","23","New York"
"Samsung Research","3.4","Consumer Electronics & Appliances "," 1k-5k Employees ","54","Seocho-gu"
"J B Chemicals And Pharmaceuticals","3.9","Pharma "," 1k-5k Employees ","47","Mumbai"
"Tata Starbucks","4.3","Retail "," 1k-5k Employees ","52","Seattle"
"Lowe's","4.3","Retail "," 1k-5k Employees ","77","Mooresville"
"Collins Aerospace","4","Defence & Aerospace "," 1k-5k Employees ","5","Charlotte"
"NBC Bearings","3.9","Auto Components "," 1-10 Employees ","77","Jaipur"
"Velocis Systems","4","IT Services & Consulting "," 1k-5k Employees ","28","Noida"
"SBFC Finance","3.7","Financial Services "," 501-1k Employees ","6","Mumbai"
"The Lalit","4","Hospitality "," 1k-5k Employees ","42","New Delhi"
"Sheenlac Paints","4.4","Chemicals "," 501-1k Employees ","61","Chennai"
"Quest Retail Private Limited","4.4","Retail "," 501-1k Employees ","18","Gurgaon/Gurugram"
"Stanza Living","2.9","Internet "," 501-1k Employees ","6","Delhi"
"Acuity Knowledge Partners","3.6","Financial Services "," 1k-5k Employees ","21","London"
"Eveready Industries","4.1","Auto Components "," 1k-5k Employees ","89","Kolkata"
"Asirvad Microfinance","3.9","NBFC "," 5k-10k Employees ","16","Chennai"
"Eveready Industries","4.1","Auto Components "," 1k-5k Employees ","89","Kolkata"
"Tata Consumer Products","3.9","FMCG "," 1k-5k Employees ","61","Mumbai"
"Flash Electronics","3.5","Electronics Manufacturing "," 1k-5k Employees ","34","Pune"
"Volvo","4.2","Automobile "," 1k-5k Employees ","25","Gothenburg"
"NetCracker","3.3","IT Services & Consulting "," 1k-5k Employees ","30","Waltham"
"Knight Frank","4.2","Real Estate "," 501-1k Employees ","127","London"
"Crowne Plaza","4.2","Hospitality "," 501-1k Employees ","40","Atlanta"
"Dunzo","3.5","Internet "," 1k-5k Employees ","9","Bangalore"
"Lumen Technologies","3.9","Telecom "," 1k-5k Employees ","93","Monroe"
"Arohan Financial Services","3.9","Financial Services "," 5k-10k Employees ","17","Kolkata"
"Signify","3.7","Consumer Electronics & Appliances "," 1k-5k Employees ","93","Amsterdam"
"Bharti Infratel","4.5","Telecom "," 1k-5k Employees ","17","Gurgaon/Gurugram"
"Shilpa Medicare","3.6","Pharma "," 1k-5k Employees ","36","Raichur"
"Westside","4.1","Fashion & Textile "," 5k-10k Employees ","25","Mumbai"
"Hitachi Payment Services","3.9","FinTech "," 1k-5k Employees ","15","Mumbai"
"Magna Infotech","3.3","Automobile "," 1k-5k Employees ","26","Bangalore"
"Aparajitha Corporate Services","3.9","Recruitment "," 1k-5k Employees ","23","Madurai"
"Transsion","4.3","Hardware & Networking "," 501-1k Employees ","17","Shenzhen"
"bnp paribas india solutions","4","Banking "," 10k-50k Employees ","175","Paris"
"bnp paribas india solutions","4","Banking "," 10k-50k Employees ","175","Paris"
"NoBrokerHOOD","3.5","Software Product "," 501-1k Employees ",NULL,"Bengaluru/Bangalore"
"Xebia","3.7","IT Services & Consulting "," 1k-5k Employees ","22","Hilversum"
"Investors Clinic","3.9","Real Estate "," 1k-5k Employees ","14","Noida"
"Sagility","4","BPO "," 10k-50k Employees ",NULL,"Bangalore Rural"
"Trimax IT Infrastructure Services","3.4","IT Services & Consulting "," 1k-5k Employees ","28","Mumbai"
"Kutumbh Care","4","Recruitment "," 5k-10k Employees ","16","Noida"
"Jaya Hind Industries","3.7","Auto Components "," 1k-5k Employees ","76","Pune"
"CNH Industrial","4.2","Automobile "," 1k-5k Employees ","10","London"
"Lumina Datamatics","3.6","IT Services & Consulting "," 1k-5k Employees ","48","Mumbai"
"First Advantage","3.8","Recruitment "," 1k-5k Employees ","20","Atlanta"
"GE Healthcare","4.2","Healthcare "," 1k-5k Employees ","29","Chicago"
"IMPACT Infotech","3.6","IT Services & Consulting "," 501-1k Employees ","29","Pune"
"Hitachi Systems Micro Clinic","4","IT Services & Consulting "," 1k-5k Employees ","32","Chiyoda City"
"Jio Platforms","3.7","IT Services & Consulting "," 10k-50k Employees ",NULL,"Navi Mumbai"
"RAMTeCH Software Solutions","3.8","IT Services & Consulting "," 1k-5k Employees ","31","Noida"
"Electrosteel Steels","4.2","Iron & Steel "," 501-1k Employees ","17","Jharkhand"
"Advik Hi Tech","3.7","Auto Components "," 1k-5k Employees ","23","Pune"
"Bitwise Solutions","4.3","IT Services & Consulting "," 501-1k Employees ","27","Schaumburg"
"City Union Bank","3.4","Banking "," 5k-10k Employees ","119","Thanjavur"
"City Union Bank","3.4","Banking "," 5k-10k Employees ","119","Thanjavur"
"Bitwise Solutions","4.3","IT Services & Consulting "," 501-1k Employees ","27","Schaumburg"
"Denave","3.9","Marketing & Advertising "," 501-1k Employees ","24","Noida"
"EMERSON PROCESS MANAGEMENT","3.9","Industrial Machinery "," 1k-5k Employees ","133","St. Louis"
"Deepak Fertilisers and Petrochemicals","3.8","Agro Chemicals "," 1k-5k Employees ","44","Pune"
"Redington","4","Hardware & Networking "," 1k-5k Employees ","24","Dubai"
"Chennai Radha Engineering Works","3.9","Industrial Machinery "," 5k-10k Employees ","18","Chennai"
"Caparo Engineering India","3.8","Auto Components "," 51-200 Employees ","55","Gurgaon/Gurugram"
"CreditAccess Grameen","4.2","Financial Services "," 10k-50k Employees ","24","Bangalore/Bengaluru"
"Rebel Foods","3.7","Internet "," 5k-10k Employees ","11","Mumbai"
"Adani Green Energy","4.2","Power "," 501-1k Employees ","8","Ahmedabad"
"HomeLane","3.5","Architecture & Interior Design "," 501-1k Employees ","9","Bangalore"
"ACTE","4.8","Education & Training "," 1-10 Employees ","12","Chennai"
"Eris Lifesciences","3.8","Pharma "," 1k-5k Employees ","16","Ahmedabad"
"Engineers India","4.3",NULL,"1k-5k Employees ","58","Delhi/NCR"
"AuthBridge Research Services","3.4","IT Services & Consulting "," 501-1k Employees ","18","Gurgaon"
"Religare","3.7","Financial Services "," 1k-5k Employees ","39","New Delhi"
"Salesforce","4.1","Software Product "," 1k-5k Employees ","24","San Francisco"
"Dhani Loans and Services","3.7","NBFC "," 1k-5k Employees ",NULL,"New Delhi"
"Ingram Micro","4","IT Services & Consulting "," 1k-5k Employees ","44","Irvine"
"TCNS Clothing Company","4.1","Fashion & Textile "," 501-1k Employees ","22","Delhi/NCR"
"Ebix Software India","3.4","IT Services & Consulting "," 1k-5k Employees ","47","Atlanta"
"Innodata Isogen","3.1","IT Services & Consulting "," 1k-5k Employees ","26","New Jersey"
"McDermott International","4.2","Oil & Gas "," 1k-5k Employees ","100","Houston"
"Finolex Cables","3.8","Electrical Equipment "," 1k-5k Employees ","67","Pune"
"Apollo Munich Health Insurance","3.9","Financial Services "," 1k-5k Employees ","16","Gurgaon"
"Svatantra Microfin","4.3","NBFC "," 1k-5k Employees ","11","Mumbai"
"Rodic Consultants","4.3","Management Consulting "," 501-1k Employees ","23","Delhi/NCR"
"Globant","4","IT Services & Consulting "," 1k-5k Employees ","20","San Francisco"
"Neeyamo Enterprise Solutions","3.7","Recruitment "," 1k-5k Employees ","14","Chennai"
"Lea Associates South Asia","4.3","Power "," 201-500 Employees ","30","Delhi/NCR"
"Ukb Electronics","4.4","Electronics Manufacturing "," 1k-5k Employees ","27","Noida"
"TÜV NORD","3.6","Other "," 201-500 Employees ","34","Mumbai"
"Sharda Motor Industries","3.9","Auto Components "," 1k-5k Employees ","37","Delhi/NCR"
"Jain Irrigation Systems","4.1","Accounting & Auditing "," 51-200 Employees ","60","Jalgaon"
"Adani Enterprises","4","Financial Services "," 1k-5k Employees ","35","Mumbai"
"IFFCO","4","Agro Chemicals "," 1k-5k Employees ","56","Delhi/NCR"
"HSBC Bank","4.4",NULL,NULL,NULL,"Hyderabad/Secunderabad"
"Biba Apparels","4","Fashion & Textile "," 1k-5k Employees ","37","Gurgaon"
"Gayatri Projects","3.9","Engineering & Construction "," 1k-5k Employees ","60","Hyderabad/Secunderabad"
"Ashirvad Pipes","4.2","Building Material "," 1k-5k Employees ","48","Bengaluru/Bangalore"
"Ihg Group","4.1","Hospitality "," 5k-10k Employees ","20","Gurgaon/Gurugram"
"Indo Autotech","4","Auto Components "," 1k-5k Employees ","49","Faridabad"
"Ameriprise Financial","4","Financial Services "," 1k-5k Employees ","129","Gurgaon/Gurugram"
"Amphenol Interconnect","4.2","Electrical Equipment "," 51-200 Employees ","51","Pune"
"Silaris Informations","3.1","BPO "," 1k-5k Employees ","12","New Delhi"
"FIITJEE","3.7","Education & Training "," 1k-5k Employees ","31","New Delhi"
"Royal Caribbean International","4.6","Sports & Recreation "," 501-1k Employees ","54","Mumbai"
"ANZ Banking Group","4","Banking "," 1k-5k Employees ","16","Bengaluru/Bangalore"
"Isuzu Motors","3.9","Automobile "," 501-1k Employees ","11","Sri City"
"Pratap Technocrats","3.9","Telecom "," 501-1k Employees ","25","Jaipur"
"Citco","3.3","Financial Services "," 1k-5k Employees ","7","Pune"
"Muthoot Microfin","4.1","Financial Services "," 5k-10k Employees ","8","Ernakulam"
"Edubridge Learning","3.8","Education & Training "," 501-1k Employees ","14","Mumbai"
"United Spirits","4.1","Beverage "," 1k-5k Employees ","26","Bengaluru/Bangalore"
"Sintex Industries","4.2","Industrial Machinery "," 5k-10k Employees ","92","Ahmedabad"
"Echobooom Management & Entrepreneurial Solutions","4","Management Consulting "," 201-500 Employees ","3","Kolkata"
"Raychem RPG","4.1","Electrical Equipment "," 501-1k Employees ","34","Mumbai"
"Sl Lumax","3.2","Auto Components "," 1k-5k Employees ","26","Sriperumbudur"
"Progressive Infotech","3.4","IT Services & Consulting "," 501-1k Employees ","25","Noida"
"Government of India","4.1","Government "," 1 Lakh+ Employees ","73","New Delhi"
"Rico Auto Industries","3.9","Auto Components "," 1k-5k Employees ","40","Gurgaon/Gurugram"
"NTT DATA Business Solutions","3.9","IT Services & Consulting "," Bengaluru/Bangalore +21 more",NULL,"Bengaluru/Bangalore"
"Ramco Systems","3.4","Software Product "," 1k-5k Employees ","26","Chennai"
"Astral Pipe","4.1","Building Material "," 1-10 Employees ","500","Ahmedabad"
"Piramal Pharma","3.9","Pharma "," 1k-5k Employees ","35","Lexington"
"Ups Logistics","4.3","Logistics "," 1k-5k Employees ","116","Atlanta"
"Bses Rajdhani Power","3.8","Power "," 5k-10k Employees (Global) ","22","Delhi/NCR"
"Union Bank of India","3.9","Banking "," 50k-1 Lakh Employees ","104","Mumbai"
"Jabil Circuit India","3.9","Electronics Manufacturing "," 1k-5k Employees ","57","St Petersburg"
"Wipro Infrastructure Engineering","3.8","Industrial Machinery "," 1k-5k Employees ","47","Bangalore/Bengaluru"
"Xceedance","3.7","Insurance "," 1k-5k Employees ","10","Boston"
"Mastek","3.8","IT Services & Consulting "," 1k-5k Employees ","41","Mumbai"
"Zydus Wellness","3.4","FMCG "," 1k-5k Employees ","35","Ahmedabad"
"Country Holidays Inn & Suites","4.5","Travel & Tourism "," 501-1k Employees ","7","Noida"
"Rane (Madras)","4.1","Auto Components "," 201-500 Employees ","26","Vallancherry"
"Skipper","3.7","Power "," 1k-5k Employees ","42","Kolkata"
"Re Sustainability Limited","4","Waste Management "," 10k-50k Employees ","29","Hyderabad"
"MattsenKumar","3.4","BPO "," 1k-5k Employees ","13","Gurgaon/Gurugram"
"Omaxe","3.8","Real Estate "," 1k-5k Employees ","34","Delhi/NCR"
"VA Tech Wabag","3.9","Waste Management "," 501-1k Employees ","99","Chennai"
"PUMA","4.3","Fashion & Textile "," 1k-5k Employees ","75","Herzogenaurach"
"HCL Comnet","3.8",NULL,NULL,NULL,"Noida"
"Fractal Analytics","4.1","IT Services & Consulting "," 1k-5k Employees ","23","New York City"
"OMICS International","2.7","Printing & Publishing "," 51-200 Employees ","16","Hyderabad/Secunderabad"
"Vakrangee","3.7","BPO "," 1k-5k Employees ","33","Mumbai"
"Sadbhav Engineering","4.3","Engineering & Construction "," 1k-5k Employees ","35","Ahmedabad"
"Epicenter Technologies","3.6","IT Services & Consulting "," 1k-5k Employees ","22","Mumbai"
"AVEVA","4.3","IT Services & Consulting "," 1k-5k Employees ","56","Cambridge"
"Future Lifestyle Fashion","4.2","Retail "," 5k-10k Employees ","11","Mumbai"
"Ag Industries","4","Auto Components "," 201-500 Employees ","32","Delhi/NCR"
"Rohan Builders","4.3","Real Estate "," 1k-5k Employees ","30","Pune"
"Amway India Enterprises","4.2","FMCG "," 501-1k Employees ","28","Ada Township"
"Thriveni Earthmovers","3.9","Metals & Mining "," 5k-10k Employees ","32","Salem"
"Times Internet","3.9","Internet "," 10k-50k Employees ","24","Gurgaon"
"Shaktiman Tirth Agro Technology","4.1","Industrial Machinery "," 1k-5k Employees ","26","Rajkot"
"Rentokil Pest Control","3.8","Facility Management Services "," 501-1k Employees ","69","Mumbai"
"Integreon","3.5","Legal "," 1k-5k Employees ","23","Fargo"
"Fleetguard Filters","4.1","Auto Components "," 1k-5k Employees ","36","Pune"
"ZUVENTUS HEALTHCARE","4","Pharma "," 1k-5k Employees ","21","Mumbai"
"Mott MacDonald","4.2","Engineering & Construction "," 501-1k Employees ","121","Croydon"
"Simplilearn","3.3","EdTech "," 1k-5k Employees ","14","San Francisco"
"Tata Hitachi Construction Machinery","3.9","1k-5k Employees "," Fortune India 500 ","24","Bangalore/Bengaluru"
"Bioclinica","3.1","Pharma "," 1k-5k Employees ","15","Princeton"
"Central Industrial Security Force","4.5","Government "," 1 Lakh+ Employees ","54","Delhi/NCR"
"Epsilon","4","Marketing & Advertising "," 1k-5k Employees ","54","Texas"
"CMS Computers Limited (INDIA)","3.7","IT Services & Consulting "," 1k-5k Employees ","47","Mumbai"
"India Cements","3.8","Building Material "," 1k-5k Employees ","77","Chennai"
"Quatrro","3.4","IT Services & Consulting "," 501-1k Employees ","18","Gurgaon"
"NSB Bpo Solutions","2.9","BPO "," 1k-5k Employees ","30","Bhopal"
"Merino Industries","3.8","Building Material "," 501-1k Employees ","55","Delhi/NCR"
"H&M","4.1","Retail "," 1k-5k Employees ","76","Stockholm"
"Toyo Engineeering","3.8","Engineering & Construction "," 1k-5k Employees ","47","Mumbai"
"Somany Ceramics","4.2","Building Material "," 1k-5k Employees ","55","Noida"
"Bpo Convergence","3.4","BPO "," 1k-5k Employees ","9","Bhubaneswar"
"Adani Solar","4","Power "," 1k-5k Employees ","8","Ahmedabad"
"EPL Limited","3.9","Packaging "," 1k-5k Employees ","39","Mumbai"
"GKN","4.1","Industrial Machinery "," 1k-5k Employees ","38","Redditch"
"SitusAMC","3.3","Software Product "," 1k-5k Employees ",NULL,"Gurgaon/Gurugram"
"NielsenIQ","3.9","IT Services & Consulting "," 1k-5k Employees ","100","Chicago"
"Bikanervala","4","FMCG "," 1k-5k Employees ","73","Delhi/NCR"
"Alshaya Group","3.9","Retail "," 501-1k Employees ","133","Kuwait City"
"Wonder Cement","4.2","Building Material "," 1k-5k Employees ","13","Ajmer"
"Creambell","3.9","FMCG "," 201-500 Employees ","32","Baddi"
"Naukri","3.9","Internet "," 1k-5k Employees ","27","Noida"
"Baxter International","4.2","Healthcare "," 1k-5k Employees ","27","Deerfield"
"Diebold Nixdorf","3.9","IT Services & Consulting "," 1k-5k Employees ","31","North Canton"
"KaaShiv InfoTech Company","4.9","IT Services & Consulting "," 51-200 Employees ",NULL,"Chennai"
"Deepak Nitrite","3.9","Chemicals "," 1k-5k Employees ","53","Vadodara/Baroda"
"Csc E Governance Services","3.9","Government "," 201-500 Employees ","14","Delhi"
"BASF","4.5","Chemicals "," 1k-5k Employees ","80","Ludwigshafen"
"Lionbridge Technologies","3.8","Content Development "," 1k-5k Employees ","27","Waltham"
"Vijaya Diagnostic Centre","4","Healthcare "," 501-1k Employees ","42","Hyderabad/Secunderabad"
"General Motors","4.4","Automobile "," 1k-5k Employees ","27","Detroit"
"MagicBricks","3.3","Internet "," 501-1k Employees ","17","Noida"
"LifeCell International","3.6","Biotechnology "," 1k-5k Employees ","19","Chennai"
"Encore Capital Group","4.1","IT Services & Consulting "," 1k-5k Employees ","70","San Diego"
"Experis IT","3.1","Recruitment "," 1k-5k Employees ","25","Milwaukee"
"India Japan Lighting","4.2","Auto Components "," 501-1k Employees ","27","Chennai"
"MPS Limited","4","Printing & Publishing "," 1k-5k Employees ","53","Noida"
"KGISL","3.4","IT Services & Consulting "," 501-1k Employees ","27","Coimbatore"
"Citigroup","3.8","Banking "," 10k-50k Employees ","211","New York City"
